Xander Bogaerts,1 (2019),"$12,000,000.00"
DJ LeMahieu,2 (2019-20),"$24,000,000.00"
Manny Machado,10 (2019-28),"$300,000,000.00"
Marwin Gonzalez,2 (2019-20),"$21,000,000.00"
George Springer,2 (2018-19),"$24,000,000.00"
Kendrys Morales,3 (2017-19),"$33,000,000.00"
Carlos Martinez,5 (2017-21),"$51,000,000.00"
Didi Gregorius,1 (2019),"$11,750,000.00"
Bryce Harper,13 (2019-31),"$330,000,000.00"
Francisco Cervelli,3 (2017-19),"$31,000,000.00"
Salvador Perez,6 (2016-21),"$54,500,000.00"
Julio Teheran,6 (2014-19),"$32,400,000.00"
Matt Harvey,1 (2019),"$11,000,000.00"
David Robertson,2 (2019-20),"$23,000,000.00"
Andrew McCutchen,3 (2019-21),"$50,000,000.00"
Kole Calhoun,3 (2017-19),"$26,000,000.00"
Starling Marte,6 (2014-19),"$31,000,000.00"
Francisco Lindor,1 (2019),"$10,550,000.00"
Jose Quintana,1 (2019),"$10,500,000.00"
Carlos Carrasco,4 (2019-22),"$47,000,000.00"
Brandon Morrow,2 (2018-19),"$21,000,000.00"
Yuli Gurriel,5 (2016-20),"$47,500,000.00"
Tanner Roark,1 (2019),"$10,000,000.00"
Mike Moustakas,1 (2019),"$10,000,000.00"
Nick Castellanos,1 (2019),"$9,950,000.00"
Christian Yelich,7 (2015-21),"$49,570,000.00"
Mike Minor,3 (2018-20),"$28,000,000.00"
Scooter Gennett,1 (2019),"$9,775,000.00"
Yasiel Puig,1 (2019),"$9,700,000.00"
Alex Wood,1 (2019),"$9,650,000.00"
Jose Altuve,7 (2018-24),"$163,500,000.00"
Andrew Cashner,2 (2018-19),"$16,000,000.00"
Jake Odorizzi,1 (2019),"$9,500,000.00"
Yusei Kikuchi,4 (2019-22),"$56,000,000.00"
Kevin Gausman,1 (2019),"$9,350,000.00"
Lance Lynn,3 (2019-21),"$30,000,000.00"
Juan Nicasio,2 (2018-19),"$17,000,000.00"
Ivan Nova,3 (2017-19),"$26,000,000.00"
Bryan Shaw,3 (2018-20),"$27,000,000.00"
Jake McGee,3 (2018-20),"$27,000,000.00"
Juan Lagares,5 (2015-19),"$23,553,696.00"
Jason Vargas,2 (2018-19),"$16,000,000.00"
Kelvin Herrera,2 (2019-20),"$18,000,000.00"
Trevor Cahill,1 (2019),"$9,000,000.00"
Adam Ottavino,3 (2019-21),"$27,000,000.00"
Brian Dozier,1 (2019),"$9,000,000.00"
Anibal Sanchez,2 (2019-20),"$19,000,000.00"
Todd Frazier,2 (2018-19),"$17,000,000.00"
Jacob deGrom,5 (2019-23),"$137,500,000.00"
Tommy Hunter,2 (2018-19),"$18,000,000.00"
Darren O'''Day,4 (2016-19),"$31,000,000.00"
Adam Eaton,5 (2015-19),"$23,500,000.00"
Kevin Kiermaier,6 (2017-22),"$54,000,000.00"
James Paxton,1 (2019),"$8,575,000.00"
Jackie Bradley,1 (2019),"$8,550,000.00"
Yonder Alonso,2 (2018-19),"$16,000,000.00"
Corey Dickerson,1 (2019),"$8,500,000.00"
Cody Allen,1 (2019),"$8,500,000.00"
Anthony Swarzak,2 (2018-19),"$14,000,000.00"
Jed Lowrie,2 (2019-20),"$20,000,000.00"
Addison Reed,2 (2018-19),"$16,750,000.00"
Rougned Odor,6 (2017-22),"$49,500,000.00"
Pat Neshek,2 (2018-19),"$16,250,000.00"
Kyle Gibson,1 (2019),"$8,125,000.00"
Miles Mikolas,2 (2018-19),"$15,500,000.00"
Jason Castro,3 (2017-19),"$24,500,000.00"
Michael Pineda,2 (2018-19),"$10,000,000.00"
Wilson Ramos,2 (2019-20),"$19,000,000.00"
Justin Smoak,1 (2019),"$8,000,000.00"
CC Sabathia,1 (2019),"$8,000,000.00"
Joe Smith,2 (2018-19),"$15,000,000.00"
Chris Archer,6 (2014-19),"$25,500,000.00"
Cesar Hernandez,1 (2019),"$7,750,000.00"
Brett Cecil,4 (2017-20),"$30,500,000.00"
Welington Castillo,2 (2018-19),"$15,000,000.00"
Steve Cishek,2 (2018-19),"$13,500,000.00"
Sonny Gray,1 (2019),"$7,500,000.00"
Jonathan Schoop,1 (2019),"$7,500,000.00"
Brett Gardner,1 (2019),"$7,500,000.00"
Stephen Piscotty,6 (2017-22),"$33,500,000.00"
Brad Hand,3 (2018-20),"$19,750,000.00"
Kyle Hendricks,1 (2019),"$7,405,000.00"
Marcus Stroman,1 (2019),"$7,400,000.00"
Mike Dunn,3 (2017-19),"$19,000,000.00"
Alex Colome,1 (2019),"$7,325,000.00"
Eugenio Suarez,7 (2018-24),"$66,000,000.00"
Yan Gomes,6 (2014-19),"$23,000,000.00"
Dellin Betances,1 (2019),"$7,250,000.00"
David Peralta,1 (2019),"$7,000,000.00"
Derek Holland,1 (2019),"$7,000,000.00"
Drew Smyly,2 (2018-19),"$10,000,000.00"
Trevor Rosenthal,1 (2019),"$7,000,000.00"
